sludinajuma_saite,bilde,apraksts,marka,gads,tips,tilpums,nobraukums,cena

https://www.ss.lv//msg/lv/transport/cars/fiat/doblo/egope.html ,https://i.ss.lv/gallery/7/1215/303593/60718435.th2.jpg ,Fiat Doblo 1.4 benzins/gaze. Tikko ievests no Belgijas. - Latvija na,FiatDoblo,2009,Benzīns,1.4,233000,3950

https://www.ss.lv//msg/lv/transport/cars/ford/focusc-max/blxdlj.html ,https://i.ss.lv/gallery/6/1114/278287/55657381.th2.jpg ,"Ford C Max 1, 0 benzīns 74kw, kondicionieris, kruīza kontrole, el regulē",FordC-Max,2013,Benzīns,1.0,139000,5950

https://www.ss.lv//msg/lv/transport/cars/mercedes/glc-300/cbfndi.html ,https://i.ss.lv/gallery/7/1215/303700/60739980.th2.jpg ,"Mercedes Glc 300, 2.0 Benzīns 180 kw / 245zs, Automātiskā ātrumkārba",MercedesGLC 300,2017,Benzīns,2.0,97000,21000

https://www.ss.lv//msg/lv/transport/cars/audi/s4/gclkf.html ,https://i.ss.lv/gallery/7/1218/304429/60885603.th2.jpg ,Audi s4 quattro labā tehniskā un vizuālā stāvoklī. 253Kw/344Zs. 2 atslēg,AudiS4,2004,Benzīns,4.2,211000,6500

https://www.ss.lv//msg/lv/transport/cars/dodge/journey/bomnnm.html ,https://i.ss.lv/gallery/7/1218/304426/60885053.th2.jpg ,"Komfortabls auto, piemērots ģimenei - Dodge Journey (Crossroad komplektā",DodgeJourney,2019,Benzīns,2.4,142000,16000

https://www.ss.lv//msg/lv/transport/cars/chevrolet/orlando/bpeijx.html ,https://i.ss.lv/gallery/7/1218/304427/60885399.th2.jpg ,"Ļoti komfortabls, ietilpīgs un uzticams auto. 7 sēdvietas. Ar klasisko, ",ChevroletOrlando,2012,Benzīns,1.8,252000,4390

https://www.ss.lv//msg/lv/transport/cars/mazda/mazda3/ficdx.html ,https://i.ss.lv/gallery/7/1218/304426/60885116.th2.jpg ,Продам малышку мазду3.Работает отлично. Есть два дефекта ремонт где-то 8,MazdaMazda3,2008,Benzīns,1.4,183000,850

https://www.ss.lv//msg/lv/transport/cars/peugeot/3008/cbgpgf.html ,https://i.ss.lv/gallery/7/1209/302186/60437025.th2.jpg ,"Peugeot 3008 1, 6i benzīns 88 Kw 120 Hp, pirmā reģistrācija 10.09.2009. ",Peugeot3008,2009,Benzīns,1.6,178000,5250

https://www.ss.lv//msg/lv/transport/cars/bmw/320/dfkid.html ,https://i.ss.lv/gallery/7/1218/304425/60884837.th2.jpg ,Esmu vienīgais saimnieks. Pirku jaunu uz pasūtījuma BMW Inchape Latvija ,Bmw320,2018,Benzīns,2.0,90000,21000

https://www.ss.lv//msg/lv/transport/cars/audi/a8/gbjin.html ,https://i.ss.lv/gallery/7/1202/300314/60062638.th2.jpg ,"Tirgojas skaists audi A8.Jauna tehniskā apskate, nelieli vizuāli defekti",AudiA8,2003,Benzīns,4.2,275000,3400

https://www.ss.lv//msg/lv/transport/cars/toyota/rav-4/bkmnxp.html ,https://i.ss.lv/gallery/7/1218/304424/60884782.th2.jpg ,Продаю Toyota Rav-4. Куплена в Латвии. Один хозяин. Техосмотр до ноябр,ToyotaRAV 4,2005,Benzīns,2.0,205000,3800

https://www.ss.lv//msg/lv/transport/cars/uaz/another/dniob.html ,https://i.ss.lv/gallery/6/1077/269071/53814149.th2.jpg ,Pārdodu uaz blokiejosiem tiltiem bez dokumentiem ejos var braukt pa besc,UazCiti,1985,Benzīns,2.4,317000,700

https://www.ss.lv//msg/lv/transport/cars/citroen/berlingo/bhofdx.html ,https://i.ss.lv/gallery/7/1218/304424/60884731.th2.jpg ,"Pārdod. Rūc brauc, bremzē. Katalizators vietā.",CitroenBerlingo,2007,Benzīns,1.4,299000,350

https://www.ss.lv//msg/lv/transport/cars/honda/civic/hxxgh.html ,https://i.ss.lv/gallery/7/1218/304416/60883104.th2.jpg ,"Pārdod Honda Civic labā stāvoklī, 1.6 bendzīns, manuals. Foršs ikdiena",HondaCivic,2003,Benzīns,1.6,211000,1600

https://www.ss.lv//msg/lv/transport/cars/toyota/rav-4/cbombx.html ,https://i.ss.lv/gallery/7/1208/301763/60352419.th2.jpg ,Toyota Rav4 2.0 Pilnpiedziņa 4x4 Ražotāja garantija līdz 2025.01 gadam,ToyotaRAV 4,2022,Benzīns,2.0,40000,27990

