sludinajuma_saite,bilde,apraksts,marka,gads,tips,tilpums,nobraukums,cena

https://www.ss.lv//msg/lv/transport/cars/skoda/roomster/bphjf.html ,https://i.ss.lv/gallery/7/1211/302514/60502777.th2.jpg ,"Sveiki uz pārdošanu Roomster 1.9 dīzelis. , 5 tūk atpakaļ veikta apkope ",SkodaRoomster,2007,Dīzelis,1.9,209000,2900

https://www.ss.lv//msg/lv/transport/cars/land-rover/range-rover/bchmjb.html ,https://i.ss.lv/gallery/7/1218/304424/60884628.th2.jpg ,Range Rover vogue 3.0d ar M57 BMW dzinēju. Automātiskā kārba slēdzas lab,Land RoverRange Rover,2002,Dīzelis,3.0,471000,2995

https://www.ss.lv//msg/lv/transport/cars/volvo/xc70/cciinf.html ,https://i.ss.lv/gallery/7/1218/304428/60885599.th2.jpg ,"Mehānika, 4x4, 2.4D, 136kw, skaists pusādas salons, ādas multi stūre, kl",VolvoXC 70,2005,Dīzelis,2.4,321000,2990

https://www.ss.lv//msg/lv/transport/cars/volvo/v60/bliomo.html ,https://i.ss.lv/gallery/7/1209/302169/60433744.th2.jpg ,"Volvo V60 D3 2.0 dīzelis, 100kw , 5 cilindru volvo dzinējs, mehānika, kl",VolvoV60,2014,Dīzelis,2.0,228000,9950

https://www.ss.lv//msg/lv/transport/cars/bmw/525/edobx.html ,https://i.ss.lv/gallery/7/1218/304429/60885675.th2.jpg ,"Bmw 525 Sport line 2.0 dīzelis 170kw, automāts, klimata kontrole, kruīza",Bmw525,2017,Dīzelis,2.0,114000,24500

https://www.ss.lv//msg/lv/transport/cars/bmw/630/ccbbkp.html ,https://i.ss.lv/gallery/7/1211/302577/60515223.th2.jpg ,"BMW 630d X-drive Gran Turismo M sportpaketViens īpašnieks Vācijā, divi",Bmw630,2018,Dīzelis,3.0,188000,32900

https://www.ss.lv//msg/lv/transport/cars/mercedes/e220/hfcxi.html ,https://i.ss.lv/gallery/6/1199/299569/59913728.th2.jpg ,"Amg pack Mercedes E220. 143kw. , 194zs. Teicamā stavoklī. Nesen no F",MercedesE220,2016,Dīzelis,2.0,212000,23500

https://www.ss.lv//msg/lv/transport/cars/toyota/land-cruiser/chooo.html ,https://i.ss.lv/gallery/7/1212/302943/60588580.th2.jpg ,Toyota Land Cruiser D4D 2.8. Pvn. Garantija. Iegādājies savu auto pi,ToyotaLand Cruiser,2020,Dīzelis,2.8,67000,56100

https://www.ss.lv//msg/lv/transport/cars/bmw/320/bipfld.html ,https://i.ss.lv/gallery/7/1218/304428/60885565.th2.jpg ,"Pārdodu bmw e91, ļoti ekonomisks un dinamisks auto, kas ir uzturēts labā",Bmw320,2006,Dīzelis,2.0,323000,3800

https://www.ss.lv//msg/lv/transport/cars/volkswagen/tiguan/cbmffc.html ,https://i.ss.lv/gallery/6/1195/298605/59720971.th2.jpg ,"Pārdodu VW Tiguan. Jauna skate, tehniski labā stāvoklī. .Aprīkojums:",VolkswagenTiguan,2008,Dīzelis,2.0,433000,5500

https://www.ss.lv//msg/lv/transport/cars/mercedes/ml350/bfxopm.html ,https://i.ss.lv/gallery/6/1198/299480/59895844.th2.jpg ,"Mercedes Benz Ml350Cdi, 170kw / 231zsLabā tehniskā un ļoti labā vizuāl",MercedesML350,2010,Dīzelis,3.0,282000,12900

https://www.ss.lv//msg/lv/transport/cars/mercedes/c220/bbdpko.html ,https://i.ss.lv/gallery/7/1216/303955/60790865.th2.jpg ,Tikko no Francijas . Mb c220cdi 125kw/170zs. Sedans. Karba automats. ,MercedesC220,2007,Dīzelis,2.2,320000,5750

https://www.ss.lv//msg/lv/transport/cars/ford/focusc-max/bppikj.html ,https://i.ss.lv/gallery/7/1218/304428/60885427.th2.jpg ,"Pārdodu ģimenes auto, kas ir labā tehniskā stāvoklī. Kā jau vecam auto",FordC-Max,2016,Dīzelis,2.0,289000,7350

https://www.ss.lv//msg/lv/transport/cars/volvo/s70/aboli.html ,https://i.ss.lv/gallery/7/1210/302491/60498129.th2.jpg ,"Auto lieliskā stāvoklī tikai no Holandes, jauna tehniskā apskate 2.5 Tdi",VolvoS70,2000,Dīzelis,2.5,350000,2750

https://www.ss.lv//msg/lv/transport/cars/volvo/xc70/ccgxkx.html ,https://i.ss.lv/gallery/7/1213/303077/60615296.th2.jpg ,"Volvo Xc90 Momentum D5 Awd. 2018. gada. 2.0l dīzelis, 173 Kw (235 Hp). G",VolvoXC 70,2018,Dīzelis,2.0,97000,35800

https://www.ss.lv//msg/lv/transport/cars/bmw/320/biedhm.html ,https://i.ss.lv/gallery/7/1218/304428/60885438.th2.jpg ,"Tirgoju BMW 320d E91 ar rūpnīcas M paku. Sudraba krāsā, alcantra rekār",Bmw320,2007,Dīzelis,2.0,261000,4490

https://www.ss.lv//msg/lv/transport/cars/volkswagen/passat-b5/ngjgc.html ,https://i.ss.lv/gallery/6/1137/284022/56804248.th2.jpg ,"Продаю авто , не гнилой , нужно приложить руки .",VolkswagenPassat (B5),2004,Dīzelis,1.9,380000,600

https://www.ss.lv//msg/lv/transport/cars/renault/trafic/bhgoc.html ,https://i.ss.lv/gallery/7/1201/300117/60023392.th2.jpg ,"Pārdodu Renault Trafic Iii, 9 sēdvietas. Manuālā kārba, 1, 6 l dīzelis, ",RenaultTrafic,2015,Dīzelis,1.6,269000,12000

https://www.ss.lv//msg/lv/transport/cars/skoda/octavia/ccigpj.html ,https://i.ss.lv/gallery/7/1218/304354/60870653.th2.jpg ,"Pārdodu Škoda Octavia Vrs, 2.0Tdi, 125Kw+Čips. Melnie griesti, lielā med",SkodaOctavia,2008,Dīzelis,2.0,300000,3350

https://www.ss.lv//msg/lv/transport/cars/bmw/320/biedlb.html ,https://i.ss.lv/gallery/7/1218/304427/60885342.th2.jpg ,Pārdodu labu un koptu BMW. Pirms gada ievests no Vācijas. Teicamā te,Bmw320,2005,Dīzelis,2.0,320000,1990

https://www.ss.lv//msg/lv/transport/cars/audi/allroad/cciimn.html ,https://i.ss.lv/gallery/7/1218/304428/60885401.th2.jpg ,"Auto labā stāvoklī atbilstoši gadam. Rūsa nav, viss darbojās.",AudiAllroad,2007,Dīzelis,2.7,331000,4500

https://www.ss.lv//msg/lv/transport/cars/citroen/c3/bjiffj.html ,https://i.ss.lv/gallery/7/1212/302882/60576305.th2.jpg ,"Citroen C3 1.5d, (55 Kw), mehāniskā pārnesumkārba. 69855.km. Divvietīgs ",CitroenC3,2018,Dīzelis,1.5,70000,7900

https://www.ss.lv//msg/lv/transport/cars/citroen/c3/bjiffj.html ,https://i.ss.lv/gallery/7/1212/302882/60576305.th2.jpg ,"Citroen C3 1.5d, (55 Kw), mehāniskā pārnesumkārba. 69855.km. Divvietīgs ",CitroenC3,2018,Dīzelis,1.5,70000,7900

https://www.ss.lv//msg/lv/transport/cars/renault/megane/omege.html ,https://i.ss.lv/gallery/6/1200/299863/59972527.th2.jpg ,"1.5d Manuāls, navigācija, atpakaļskata kamera, klimatkontrole, stereo, z",RenaultMegane,2014,Dīzelis,1.5,188000,5995

https://www.ss.lv//msg/lv/transport/cars/ford/transit/akkod.html ,https://i.ss.lv/gallery/7/1209/302069/60413668.th2.jpg ,"Ford Transit Custom L2H1 2.0 Ecoblue (96kW, 130Zs) 8 sēdvietas. Numura z",FordTransit,2017,Dīzelis,2.0,120000,21900

https://www.ss.lv//msg/lv/transport/cars/audi/a3/bcdedl.html ,https://i.ss.lv/gallery/7/1214/303276/60655064.th2.jpg ,"Pārdodu auto labā stāvoklī, 2.0 tdi, 103kw, svaiga tā, 1 īpašnieсе Latvi",AudiA3,2007,Dīzelis,2.0,300000,3700

https://www.ss.lv//msg/lv/transport/cars/peugeot/407/fixik.html ,https://i.ss.lv/gallery/7/1207/301520/60303897.th2.jpg ,"Peugeot 407, 2.0 dīzelis, 100 kw, 6 ātrumu pārnesumkārba. Auto iet labi.",Peugeot407,2005,Dīzelis,2.0,351000,900

https://www.ss.lv//msg/lv/transport/cars/volkswagen/tiguan/cbgdcj.html ,https://i.ss.lv/gallery/6/1196/298843/59768544.th2.jpg ,VW Tiguan Automāts 2.0 Tdi 4Motion 140 kwPirmā reģistrācija 07.06.20,VolkswagenTiguan,2017,Dīzelis,2.0,191000,18400

https://www.ss.lv//msg/lv/transport/cars/renault/scenic/ciiep.html ,https://i.ss.lv/gallery/7/1218/304426/60885190.th2.jpg ,"Pārdodu Renault Scenic saudzīgi lietotu , laba darba un vizuala stavokli",RenaultScenic,2013,Dīzelis,1.5,178000,4000

https://www.ss.lv//msg/lv/transport/cars/bmw/320/bhoixk.html ,https://i.ss.lv/gallery/7/1218/304426/60885090.th2.jpg ,Rūpnīcas oriģinālā m sporta pakete. Vecais bezproblēmu m47 dzinējs. ,Bmw320,2007,Dīzelis,2.0,370000,5000

https://www.ss.lv//msg/lv/transport/cars/renault/mascott/peeef.html ,https://i.ss.lv/gallery/7/1209/302144/60428748.th2.jpg ,Sakarā ar jauna auto iegādi Pārdod Renault Mascott Maxi gārākā versija,RenaultMascott,2008,Dīzelis,3.0,529000,5690

https://www.ss.lv//msg/lv/transport/cars/volkswagen/golf-7/bnkjfm.html ,https://i.ss.lv/gallery/6/1178/294306/58861058.th2.jpg ,VW Golf 7 universāls (jubilejas modelis) ar automātisko pārnesumkārbu. J,VolkswagenGolf 7,2019,Dīzelis,2.0,97000,15550

https://www.ss.lv//msg/lv/transport/cars/toyota/corolla-verso/ofebg.html ,https://i.ss.lv/gallery/6/1136/283793/56758459.th2.jpg ,"D4D, skaists salons, audio sistēma, Lielais ekrāns, kondicionieris, liet",ToyotaCorolla Verso,2005,Dīzelis,2.0,333000,3490

https://www.ss.lv//msg/lv/transport/cars/peugeot/607/dbjbg.html ,https://i.ss.lv/gallery/7/1218/304425/60884826.th2.jpg ,"Šodien izieta jauna Ta. Automāts , Zobsiksna mainīta pirms 20.000 km, la",Peugeot607,2005,Dīzelis,2.2,268000,1950

https://www.ss.lv//msg/lv/transport/cars/volkswagen/multivan/bdjne.html ,https://i.ss.lv/gallery/6/1176/293785/58756938.th2.jpg ,Multivan Highline 2.0Tdi 4-motion 4x4 Automāts 7-vietas Navigācija Bi-xe,VolkswagenMultivan,2014,Dīzelis,2.0,278000,18400

https://www.ss.lv//msg/lv/transport/cars/bmw/x6/cciime.html ,https://i.ss.lv/gallery/7/1218/304424/60884706.th2.jpg ,"Верная и надежная семейная машина. Следили и берегли, все обслуживания",BmwX6,2016,Dīzelis,4.0,184000,39000

https://www.ss.lv//msg/lv/transport/cars/volkswagen/passat-b4/ncfff.html ,https://i.ss.lv/gallery/7/1218/304424/60884764.th2.jpg ,"Pārdodu jaudīgu darba kumeliņu kas ieliks visiem bembjiem, pēc sajūtām t",VolkswagenPassat (B4),1996,Dīzelis,1.9,460000,1000

https://www.ss.lv//msg/lv/transport/cars/land-rover/range-rover-sport/blfbfd.html ,https://i.ss.lv/gallery/6/1171/292537/58507385.th2.jpg ,Range Rover Sport D350 Mhev Autobiography Demo automašīna Ražotāja garan,Land RoverRange Rover Sport,2022,Dīzelis,3.0,9.9000,109990

https://www.ss.lv//msg/lv/transport/cars/land-rover/range-rover-sport/ccenjm.html ,https://i.ss.lv/gallery/7/1207/301745/60348829.th2.jpg ,Land Rover Range Rover Sport 3.0D Hse D300 225Kw Awd ATAdaptīvā kruī,Land RoverRange Rover Sport,2018,Dīzelis,3.0,83000,39790

https://www.ss.lv//msg/lv/transport/cars/bmw/330/agjxn.html ,https://i.ss.lv/gallery/7/1218/304424/60884732.th2.jpg ,"Tikko no Vācijas BMW 330d 190kw X-drive. Bagāta komplektācija, Autom",Bmw330,2014,Dīzelis,3.0,213000,14250

https://www.ss.lv//msg/lv/transport/cars/ford/transit/bheoek.html ,https://i.ss.lv/gallery/7/1218/304424/60884657.th2.jpg ,"Pārdod Ford Transit 2008. gads, 2.2 Tdci 140 zs motors. Nesen uzlikts ja",FordTransit,2008,Dīzelis,2.2,400000,2900

https://www.ss.lv//msg/lv/transport/cars/ford/focus/bgoif.html ,https://i.ss.lv/gallery/7/1218/304424/60884672.th2.jpg ,"Iespēja iegādāties ford focus, ""chia"" komplektācijā1.6tdci 80 kw, salī",FordFocus,2006,Dīzelis,1.6,360000,1000

https://www.ss.lv//msg/lv/transport/cars/volkswagen/transporter/dffbl.html ,https://i.ss.lv/gallery/7/1209/302166/60433149.th2.jpg ,Motors darba kārtībā. Ātrumkārbas defekts. Roka jāpieliek vizuālajam izs,VolkswagenTransporter,2002,Dīzelis,2.5,360000,1150

https://www.ss.lv//msg/lv/transport/cars/fiat/ducato/ndfmh.html ,https://i.ss.lv/gallery/6/1185/296097/59219313.th2.jpg ,Pārdodu mikroautobusu 2.3 dīzelis 88 kW (120 Zs). Auto atrodas Latvijā n,FiatDucato,2009,Dīzelis,2.3,297000,4300

https://www.ss.lv//msg/lv/transport/cars/volvo/v70/bicdmj.html ,https://i.ss.lv/gallery/7/1218/304321/60864115.th2.jpg ,"Mašina labā stāvoklī, automāts , ir nelieli vizuali defekti, nodoklis no",VolvoV70,2007,Dīzelis,2.4,340000,1750

https://www.ss.lv//msg/lv/transport/cars/hyundai/santa-fe/bgmbn.html ,https://i.ss.lv/gallery/6/1196/298867/59773277.th2.jpg ,"Pārdodu 2016 gada novembrī ""Skandi Motors"" iegādātu ""Hyundai Santa Fe"" a",HyundaiSanta FE,2016,Dīzelis,2.2,293000,13500

